,state_name,state_name_slug,state_code,state_code_slug,class,bioguide,thomas,opensecrets,votesmart,fec,maplight,wikidata,google_entity_id,title,party,name,name_slug,first_name,middle_name,last_name,name_suffix,goes_by,pronunciation,gender,ethnicity,religion,openly_lgbtq,date_of_birth,entered_office,term_end,biography,phone,fax,latitude,longitude,address_complete,address_number,address_prefix,address_street,address_sec_unit_type,address_sec_unit_num,address_city,address_state,address_zipcode,address_type,website,contact_page,facebook_url,twitter_url,photo_url
11,Colorado,colorado,CO,co,II,G000562,1998,N00030780,30004,NA,NA,NA,NA,senator,republican,Cory Gardner,cory-gardner,Cory,NA,Gardner,NA,NA,CORE-ee GAHRD-ner,male,white-american,lutheran,no,8/22/74,1/3/15,1/3/21,"Cory Gardner, a Senator and a Representative from Colorado; born in Yuma, Yuma County, Colo., on August 22, 1974; graduated from Yuma High School, Yuma, Colo., 1993; B.A., Colorado State University, Fort Collins, Colo., 1997; J.D., University of Colorado, Boulder, Colo., 2001; agricultural advocate; staff, United States Senator Wayne Allard of Colorado, 2002-2005; member of the Colorado state house of representatives, 2005-2010; elected as a Republican to the One Hundred Twelfth and to the succeeding Congress (January 3, 2011-January 3, 2015); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2014 for the term ending January 3, 2021.",202-224-5941,202-224-6524,38.892542,-77.007415,"354 Russell Senate Office Building, Washington, DC 20510",NA,NA,354 Russell Senate Office Building,NA,NA,Washington,DC,20510,Building,http://www.gardner.senate.gov,https://www.gardner.senate.gov/contact-cory/email-cory,https://facebook.com/SenCoryGardner,https://twitter.com/sencorygardner,https://cdn.civil.services/us-senate/headshots/512x512/cory-gardner.jpg
12,Colorado,colorado,CO,co,III,B001267,1965,N00030608,110942,NA,NA,NA,NA,senator,democrat,Michael  Bennet,michael-bennet,Michael,F.,Bennet,NA,NA,MAHY-kuhl BEN-ett,male,white-american,unspecified,no,11/28/64,1/21/09,1/3/23,"Michael Bennet, a Senator from Colorado; born in New Delhi, India, November 28, 1964; B.A., Wesleyan University, Middletown, Conn., 1987; J.D., Yale Law School, 1993, editor-in-chief of the Yale Law Journal; counsel to U.S. deputy attorney general 1995-1997; special assistant U.S. attorney, Conn., 1997; managing director, Anschutz Investment Co. 1997-2003; chief of staff to Mayor of Denver, Colo., 2003-2005; Superintendent, Denver Public Schools 2005-2009; appointed January 21, 2009, to the United States Senate for the term ending January 3, 2011, to fill the vacancy caused by the resignation of Kenneth L. Salazar; took the oath of office on January 22, 2009; elected to the U.S. Senate in 2010 for the term ending January 3, 2017; chair, Democratic Senatorial Campaign Committee (2013-2014).",202-224-5852,202-228-5097,38.892542,-77.007415,"261 Russell Senate Office Building, Washington, DC 20510",NA,NA,261 Russell Senate Office Building,NA,NA,Washington,DC,20510,Building,http://www.bennet.senate.gov,https://www.bennet.senate.gov/?p=contact,https://facebook.com/SenatorBennet,https://twitter.com/SenatorBennet,https://cdn.civil.services/us-senate/headshots/512x512/michael-bennet.jpg
13,Connecticut,connecticut,CT,ct,I,M001169,1837,N00027566,17189,NA,NA,NA,NA,senator,democrat,Christopher Murphy,christopher-murphy,Christopher,NA,Murphy,NA,Chris,KRISS MER-fee,male,white-american,protestant,no,8/3/73,1/3/13,1/3/19,"Christopher Murphy, a Senator and a Representative from Connecticut; born in White Plains, Westchester County, N.Y., August 3, 1973; B.A., Williams College, Williamstown, Mass., 1996; attended Exeter College, Oxford, England, 1994-1995; J.D., University of Connecticut, Hartford, Conn., 2002; lawyer, private practice; Southington, Conn., planning and zoning commission, 1997-1999; member of the Connecticut state house of representatives, 1999-2003; member of the Connecticut state senate, 2003-2006; elected as a Democrat to the One Hundred Tenth and to the two succeeding Congresses (January 3, 2007-January 3, 2013); was not a candidate for reelection to the House of Representatives but was elected as a Democrat to the United States Senate in 2012 for the term ending January 3, 2019.",202-224-4041,202-224-9750,38.892839,-77.004356,"136 Hart Senate Office Building, Washington, DC 20510",NA,NA,136 Hart Senate Office Building,NA,NA,Washington,DC,20510,Building,http://www.murphy.senate.gov,https://www.murphy.senate.gov/contact,https://facebook.com/ChrisMurphyCT,https://twitter.com/ChrisMurphyCT,https://cdn.civil.services/us-senate/headshots/512x512/christopher-murphy.jpg
14,Connecticut,connecticut,CT,ct,III,B001277,2076,N00031685,1568,NA,NA,NA,NA,senator,democrat,Richard Blumenthal,richard-blumenthal,Richard,NA,Blumenthal,NA,Dick,DICK BLOO-mun-thawl,male,white-american,jewish,no,2/13/46,1/5/11,1/3/23,"Richard Blumenthal, a Senator from Connecticut; born in Brooklyn, N.Y., February 13, 1946; graduated Harvard University, B.A., 1967; attended Cambridge University, 1967-1968; graduated Yale University, J.D., 1973; editor-in-chief of the Yale Law Journal; served in the United States Marine Corps Reserves 1970-1976; White House aide 1969-1970; law clerk to United States Supreme Court Justice Harry A. Blackmun 1974-1975; administrative assistant to Senator Abraham Ribicoff 1975-1976; United States Attorney for Connecticut 1977-1981; lawyer; member of the Connecticut state house of representatives 1984-1987; member of the Connecticut state senate 1987-1990; attorney general of Connecticut 1991-2010; elected as a Democrat to the United States Senate in 2010 for the term ending January 3, 2017.",202-224-2823,202-224-9673,38.892839,-77.004356,"706 Hart Senate Office Building, Washington, DC 20510",NA,NA,706 Hart Senate Office Building,NA,NA,Washington,DC,20510,Building,http://www.blumenthal.senate.gov,https://www.blumenthal.senate.gov/contact/,https://facebook.com/SenBlumenthal,https://twitter.com/SenBlumenthal,https://cdn.civil.services/us-senate/headshots/512x512/richard-blumenthal.jpg
15,Delaware,delaware,DE,de,II,C001088,1984,N00031820,122834,NA,NA,NA,NA,senator,democrat,Christopher Coons,christopher-coons,Christopher,A.,Coons,NA,Chris,KRISS KOONZ,male,white-american,presbyterian,no,9/9/63,11/15/10,1/3/21,"Chris Coons, a Senator from Delaware; born on September 9, 1963, in Greenwich, Conn.; B.A., Amherst College, 1985; J.D., Yale University Law School, 1992; M.A.R., Yale Divinity School, 1992; worked in the non-profit sector; attorney; served as president of the New Castle County Council 2001-2005; County Executive of New Castle County 2005-2010; elected as a Democrat to the United States Senate in the November 2, 2010, special election to the term ending January 3, 2015, a seat previously held by appointed Senator Edward E. Kaufman, and took the oath of office on November 15, 2010; reelected in 2014 for the term ending January 3, 2021.",202-224-5042,NA,38.892542,-77.007415,"127A Russell Senate Office Building, Washington, DC 20510",NA,NA,127A Russell Senate Office Building,NA,NA,Washington,DC,20510,Building,http://www.coons.senate.gov,https://www.coons.senate.gov/contact,https://facebook.com/senatorchriscoons,https://twitter.com/ChrisCoons,https://cdn.civil.services/us-senate/headshots/512x512/christopher-coons.jpg
16,Delaware,delaware,DE,de,I,C000174,179,N00012508,22421,NA,NA,NA,NA,senator,democrat,Thomas Carper,thomas-carper,Thomas,R.,Carper,NA,Tom,TAHM KAR-per,male,white-american,presbyterian,no,1/23/47,1/3/01,1/3/19,"Thomas Carper, a Senator and a Representative from Delaware; born in Beckley, Raleigh County, W.Va., January 23, 1947; attended public schools; graduated, Whetstone High School, Columbus, Ohio 1964; B.A., Ohio State University, Columbus 1968; University of Delaware, Newark, M.B.A. 1975; served in the United States Navy 1968-1973; Naval Reserve, commander, 1973-1991; Delaware State Treasurer 1976-1983; elected as a Democrat to the Ninety-eighth and to the four succeeding Congresses (January 3, 1983-January 3, 1993); Governor of Delaware 1993-2001; chairman of the National Governors Association 1998-1999; elected to the United States Senate in 2000 for term commencing January 3, 2001; reelected in 2006 and again in 2012 for the term ending January 3, 2019; chair, Committee on Homeland Security and Governmental Affairs (One Hundred Thirteenth Congress).",202-224-2441,202-228-2190,38.892839,-77.004356,"513 Hart Senate Office Building, Washington, DC 20510",NA,NA,513 Hart Senate Office Building,NA,NA,Washington,DC,20510,Building,http://www.carper.senate.gov,https://www.carper.senate.gov/public/index.cfm/email-senator-carper,https://facebook.com/tomcarper,https://twitter.com/SenatorCarper,https://cdn.civil.services/us-senate/headshots/512x512/thomas-carper.jpg
17,Florida,florida,FL,fl,I,S001217,NA,N00043290,124204,S8FL00273,NA,Q439729,NA,senator,republican,Rick Scott,rick-scott,Rick,NA,Scott,NA,NA,RIK SKAHT,male,white-american,unspecified,no,12/1/52,1/3/19,1/3/25,"Rick Scott is a Republican member of the U.S. Senate from Florida. Scott was elected to the office on November 6, 2018. Scott was elected governor of Florida in 2010 and 2014. Prior to serving in public office, Scott owned an investment firm and a business that acquired healthcare organizations",202-224-5274,NA,38.892839,-77.004356,"716 Hart Senate Office Building, Washington, DC 20510",NA,NA,716 Hart Senate Office Building,NA,NA,Washington,DC,20510,Building,https://www.rickscott.senate.gov,https://www.rickscott.senate.gov/contact_rick,https://facebook.com/RickScottSenOffice,https://twitter.com/SenRickScott,https://cdn.civil.services/us-senate/headshots/512x512/rick-scott.jpg
18,Florida,florida,FL,fl,III,R000595,2084,N00030612,1601,NA,NA,NA,NA,senator,republican,Marco Rubio,marco-rubio,Marco,NA,Rubio,NA,NA,MAR-koh ROO-bee-oh,male,hispanic-american,roman-catholic,no,5/28/71,1/3/11,1/3/23,"Marco Rubio, a Senator from Florida; born in Miami, Fla., May 28, 1971; graduated University of Florida, B.S., 1993; graduated University of Miami, J.D., 1996; lawyer; West Miami City Commission 1998-2000; member of the Florida house of representatives 2000-2008; majority leader 2003-2006; speaker 2006-2008; elected as a Republican to the United States Senate for the term ending January 3, 2017.",202-224-3041,NA,38.892542,-77.007415,"284 Russell Senate Office Building, Washington, DC 20510",NA,NA,284 Russell Senate Office Building,NA,NA,Washington,DC,20510,Building,http://www.rubio.senate.gov,https://www.rubio.senate.gov/public/index.cfm/contact,https://facebook.com/SenatorMarcoRubio,https://twitter.com/marcorubio,https://cdn.civil.services/us-senate/headshots/512x512/marco-rubio.jpg
19,Georgia,georgia,GA,ga,II,P000612,2286,N00035516,151330,NA,NA,NA,NA,senator,republican,David Perdue,david-perdue,David,NA,Perdue,NA,NA,DAY-vid pur-DOO,male,white-american,methodist,no,12/10/49,1/3/15,1/3/21,"David Perdue, a Senator from Georgia; born in Macon, Bibb County, Ga., December 10, 1949; B.S., Georgia Institute of Technology, 1972; M.S., Georgia Institute of Technology, 1976; management consultant; company executive; elected as a Republican to the United States Senate in 2014 for the term ending January 3, 2021.",202-224-3521,202-228-1031,38.892542,-77.007415,"383 Russell Senate Office Building, Washington, DC 20510",NA,NA,383 Russell Senate Office Building,NA,NA,Washington,DC,20510,Building,http://www.perdue.senate.gov,https://www.perdue.senate.gov/connect/email,https://facebook.com/SenatorDavidPerdue,https://twitter.com/sendavidperdue,https://cdn.civil.services/us-senate/headshots/512x512/david-perdue.jpg
20,Georgia,georgia,GA,ga,III,I000055,1608,N00002593,1721,NA,NA,NA,NA,senator,republican,Johnny Isakson,johnny-isakson,Johnny,NA,Isakson,NA,NA,JAH-nee AHY-zick-suhn,male,white-american,methodist,no,12/28/44,1/3/05,1/3/23,"John Isakson, a Senator and a Representative from Georgia; born in Atlanta, Fulton County, Ga., December 28, 1944; graduated from the University of Georgia, Athens, Ga., 1966; served in the Georgia Air National Guard 1966-1972; member of the Georgia state general assembly, 1976-1990; unsuccessful candidate for election as Governor of Georgia 1990; member of the Georgia state senate 1993-1996; unsuccessful candidate for election to the United States Senate in 1996; chair of the Georgia board of education 1996; elected as a Republican to the One Hundred Sixth Congress by special election to fill the vacancy created when United States Representative Newt Gingrich did not take his seat in the One Hundred Sixth Congress; reelected to the two succeeding Congresses (February 23, 1999-January 3, 2005); was not a candidate for reelection to the House of Representatives, but was elected to the United States Senate in 2004; reelected in 2010 for the term ending January 3, 2017; chair, Committee on Veterans' Affairs (One Hundred Fourteenth Congress), Select Committee on Ethics (One Hundred Fourteenth Congress).",202-224-3643,202-228-0724,38.892542,-77.007415,"131 Russell Senate Office Building, Washington, DC 20510",NA,NA,131 Russell Senate Office Building,NA,NA,Washington,DC,20510,Building,https://www.loeffler.senate.gov,https://www.loeffler.senate.gov/contact,https://facebook.com/kellyloefflerga,https://twitter.com/senatorloeffler?lang=en,https://cdn.civil.services/us-senate/headshots/512x512/johnny-isakson.jpg
21,Hawaii,hawaii,HI,hi,III,S001194,2173,N00028138,17852,NA,NA,NA,NA,senator,democrat,Brian Schatz,brian-schatz,Brian,NA,Schatz,NA,NA,"BRAHY-uhn SHAHTS [Rhymes with shots, not cats]",male,white-american,jewish,no,10/20/72,12/26/12,1/3/23,"Brian Schatz, a Senator from Hawaii; born in Ann Arbor, Washtenaw County, Mich., October 20, 1972; attended Punahou School in Honolulu, Hawaii; B.A. Pomona College 1994; teacher; member of the Hawaii state house of representatives, 1998-2006; CEO, Helping Hands Hawaii, 2002-2010; Chairman, Democratic Party of Hawaii, 2008-2011; Hawaii lieutenant governor, 2010-2012; appointed as a Democrat to the United States Senate on December 26, 2012, to fill the vacancy caused by the death of Daniel Inouye, and took the oath of office on December 27, 2012; elected in 2014 in a special election for the term ending January 3, 2017.",202-224-3934,202-228-1153,38.892839,-77.004356,"722 Hart Senate Office Building, Washington, DC 20510",NA,NA,722 Hart Senate Office Building,NA,NA,Washington,DC,20510,Building,http://www.schatz.senate.gov,https://www.schatz.senate.gov/contact,https://facebook.com/SenBrianSchatz,https://twitter.com/brianschatz,https://cdn.civil.services/us-senate/headshots/512x512/brian-schatz.jpg
22,Hawaii,hawaii,HI,hi,I,H001042,1844,N00028139,1677,NA,NA,NA,NA,senator,democrat,Mazie Hirono,mazie-hirono,Mazie,K.,Hirono,NA,NA,MAY-zee hear-OH-noh [O's unrounded],female,asian-american,buddhism,no,11/3/47,1/3/13,1/3/19,"Mazie Hirono, a Senator and a Representative from Hawaii; born in Fukushima, Japan, November 3, 1947; graduated from Kaimuki High School, Honolulu, Hawaii; B.A., University of Hawaii, Manoa, Hawaii, 1970; J.D., Georgetown University, Washington, D.C., 1978; lawyer, private practice; member of the Hawaii state house of representatives, 1981-1994; Hawaii lieutenant governor, 1994-2002; elected as a Democrat to the One Hundred Tenth and to the two succeeding Congresses (January 3, 2007-January 3, 2013); was not a candidate for reelection to the House of Representatives but was elected as a Democrat to the United States Senate in 2012 for the term ending January 3, 2019.",202-224-6361,202-224-2126,38.892839,-77.004356,"330 Hart Senate Office Building, Washington, DC 20510",NA,NA,330 Hart Senate Office Building,NA,NA,Washington,DC,20510,Building,http://www.hirono.senate.gov,https://www.hirono.senate.gov/contact,https://facebook.com/senatorhirono,https://twitter.com/maziehirono,https://cdn.civil.services/us-senate/headshots/512x512/mazie-hirono.jpg
